"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","tmsplitcheckcombined2.visib","wdsp","tmsplitcheckcombined2.Num_collision"
"132",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2016,53.9,44.5,10,6.7,0.978571428571429
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2016,55.7,48.8,9.7,6.5,0.714285714285714
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,56.3,52.2,9,14.2,0.578571428571429
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,59.4,50.3,10,9.6,0.671428571428571
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,54.6,52,4.4,10.7,0.728571428571429
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016,57.9,53.4,7.7,8.7,0.75
"138",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2016,65.7,53.9,9.7,7.7,0.878571428571429
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,60,55.8,6.5,8.2,0.942857142857143
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2016,62.5,57.3,9.2,11.6,0.55
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,64.6,58.2,10,7.7,0.5
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,62.4,60.5,2,9,0.392857142857143
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,62.8,60.6,4.9,10.1,0.792857142857143
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,64,56.4,7.6,9.1,0.735714285714286
"145",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016,55.7,53.5,6.8,9.3,0.685714285714286
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2016,58.4,55.9,7.8,6.7,0.828571428571429
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2016,60.2,58,4.2,5.3,0.692857142857143
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2016,58.4,56.9,3.4,10.3,0.442857142857143
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2016,62.9,61.1,3.9,12.3,0.728571428571429
